auth.audit_log_entries | audit_log_entries_pkey | CREATE UNIQUE INDEX audit_log_entries_pkey ON auth.audit_log_entries USING btree (id)
auth.saml_relay_states | saml_relay_states_sso_provider_id_idx | CREATE INDEX saml_relay_states_sso_provider_id_idx ON auth.saml_relay_states USING btree (sso_provider_id)
auth.schema_migrations | schema_migrations_pkey | CREATE UNIQUE INDEX schema_migrations_pkey ON auth.schema_migrations USING btree (version)
auth.sessions | sessions_not_after_idx | CREATE INDEX sessions_not_after_idx ON auth.sessions USING btree (not_after DESC)
auth.sessions | sessions_oauth_client_id_idx | CREATE INDEX sessions_oauth_client_id_idx ON auth.sessions USING btree (oauth_client_id)
auth.sessions | sessions_pkey | CREATE UNIQUE INDEX sessions_pkey ON auth.sessions USING btree (id)
auth.sessions | sessions_user_id_idx | CREATE INDEX sessions_user_id_idx ON auth.sessions USING btree (user_id)
auth.sessions | user_id_created_at_idx | CREATE INDEX user_id_created_at_idx ON auth.sessions USING btree (user_id, created_at)
auth.sso_domains | sso_domains_domain_idx | CREATE UNIQUE INDEX sso_domains_domain_idx ON auth.sso_domains USING btree (lower(domain))
auth.sso_domains | sso_domains_pkey | CREATE UNIQUE INDEX sso_domains_pkey ON auth.sso_domains USING btree (id)
auth.sso_domains | sso_domains_sso_provider_id_idx | CREATE INDEX sso_domains_sso_provider_id_idx ON auth.sso_domains USING btree (sso_provider_id)
auth.sso_providers | sso_providers_pkey | CREATE UNIQUE INDEX sso_providers_pkey ON auth.sso_providers USING btree (id)
auth.sso_providers | sso_providers_resource_id_idx | CREATE UNIQUE INDEX sso_providers_resource_id_idx ON auth.sso_providers USING btree (lower(resource_id))
auth.sso_providers | sso_providers_resource_id_pattern_idx | CREATE INDEX sso_providers_resource_id_pattern_idx ON auth.sso_providers USING btree (resource_id text_pattern_ops)
auth.users | confirmation_token_idx | CREATE UNIQUE INDEX confirmation_token_idx ON auth.users USING btree (confirmation_token) WHERE ((confirmation_token)::text !~ '^[0-9 ]*$'::text)
auth.users | email_change_token_current_idx | CREATE UNIQUE INDEX email_change_token_current_idx ON auth.users USING btree (email_change_token_current) WHERE ((email_change_token_current)::text !~ '^[0-9 ]*$'::text)
auth.users | email_change_token_new_idx | CREATE UNIQUE INDEX email_change_token_new_idx ON auth.users USING btree (email_change_token_new) WHERE ((email_change_token_new)::text !~ '^[0-9 ]*$'::text)
auth.users | reauthentication_token_idx | CREATE UNIQUE INDEX reauthentication_token_idx ON auth.users USING btree (reauthentication_token) WHERE ((reauthentication_token)::text !~ '^[0-9 ]*$'::text)
auth.users | recovery_token_idx | CREATE UNIQUE INDEX recovery_token_idx ON auth.users USING btree (recovery_token) WHERE ((recovery_token)::text !~ '^[0-9 ]*$'::text)
auth.users | users_email_partial_key | CREATE UNIQUE INDEX users_email_partial_key ON auth.users USING btree (email) WHERE (is_sso_user = false)
auth.users | users_instance_id_email_idx | CREATE INDEX users_instance_id_email_idx ON auth.users USING btree (instance_id, lower((email)::text))
auth.users | users_instance_id_idx | CREATE INDEX users_instance_id_idx ON auth.users USING btree (instance_id)
auth.users | users_is_anonymous_idx | CREATE INDEX users_is_anonymous_idx ON auth.users USING btree (is_anonymous)
auth.users | users_phone_key | CREATE UNIQUE INDEX users_phone_key ON auth.users USING btree (phone)
auth.users | users_pkey | CREATE UNIQUE INDEX users_pkey ON auth.users USING btree (id)
auth.webauthn_challenges | webauthn_challenges_expires_at_idx | CREATE INDEX webauthn_challenges_expires_at_idx ON auth.webauthn_challenges USING btree (expires_at)
auth.webauthn_challenges | webauthn_challenges_pkey | CREATE UNIQUE INDEX webauthn_challenges_pkey ON auth.webauthn_challenges USING btree (id)
auth.webauthn_challenges | webauthn_challenges_user_id_idx | CREATE INDEX webauthn_challenges_user_id_idx ON auth.webauthn_challenges USING btree (user_id)
auth.webauthn_credentials | webauthn_credentials_credential_id_key | CREATE UNIQUE INDEX webauthn_credentials_credential_id_key ON auth.webauthn_credentials USING btree (credential_id)
auth.webauthn_credentials | webauthn_credentials_pkey | CREATE UNIQUE INDEX webauthn_credentials_pkey ON auth.webauthn_credentials USING btree (id)
auth.webauthn_credentials | webauthn_credentials_user_id_idx | CREATE INDEX webauthn_credentials_user_id_idx ON auth.webauthn_credentials USING btree (user_id)
public.admin_users | admin_users_pkey | CREATE UNIQUE INDEX admin_users_pkey ON public.admin_users USING btree (id)
public.admin_users | admin_users_user_id_key | CREATE UNIQUE INDEX admin_users_user_id_key ON public.admin_users USING btree (user_id)
public.admin_users | idx_admin_users_user_id | CREATE INDEX idx_admin_users_user_id ON public.admin_users USING btree (user_id)
public.ai_feature_limits | ai_feature_limits_pkey | CREATE UNIQUE INDEX ai_feature_limits_pkey ON public.ai_feature_limits USING btree (id)
public.ai_feature_limits | ai_feature_limits_unique | CREATE UNIQUE INDEX ai_feature_limits_unique ON public.ai_feature_limits USING btree (feature_name, subscription_tier)
public.ai_feature_limits | idx_ai_feature_limits_lookup | CREATE INDEX idx_ai_feature_limits_lookup ON public.ai_feature_limits USING btree (feature_name, subscription_tier)
public.ai_feature_usage | ai_feature_usage_pkey | CREATE UNIQUE INDEX ai_feature_usage_pkey ON public.ai_feature_usage USING btree (id)
public.ai_feature_usage | ai_feature_usage_unique_user_feature_date | CREATE UNIQUE INDEX ai_feature_usage_unique_user_feature_date ON public.ai_feature_usage USING btree (user_id, feature_name, usage_date)
public.ai_feature_usage | idx_ai_feature_usage_feature_date | CREATE INDEX idx_ai_feature_usage_feature_date ON public.ai_feature_usage USING btree (feature_name, usage_date DESC)
public.ai_feature_usage | idx_ai_feature_usage_user_date | CREATE INDEX idx_ai_feature_usage_user_date ON public.ai_feature_usage USING btree (user_id, usage_date DESC)
public.ai_guest_conversions | ai_guest_conversions_pkey | CREATE UNIQUE INDEX ai_guest_conversions_pkey ON public.ai_guest_conversions USING btree (id)
public.ai_guest_conversions | ai_guest_conversions_unique_user | CREATE UNIQUE INDEX ai_guest_conversions_unique_user ON public.ai_guest_conversions USING btree (user_id)
public.ai_guest_conversions | idx_ai_guest_conversions_time | CREATE INDEX idx_ai_guest_conversions_time ON public.ai_guest_conversions USING btree (converted_at DESC)
public.ai_guest_conversions | idx_ai_guest_conversions_user | CREATE INDEX idx_ai_guest_conversions_user ON public.ai_guest_conversions USING btree (user_id)
public.ai_guest_rate_limits | ai_guest_rate_limits_pkey | CREATE UNIQUE INDEX ai_guest_rate_limits_pkey ON public.ai_guest_rate_limits USING btree (id)
public.ai_guest_rate_limits | idx_ai_guest_rate_limits_lookup | CREATE INDEX idx_ai_guest_rate_limits_lookup ON public.ai_guest_rate_limits USING btree (ip_hash, browser_fingerprint, feature_name, attempted_at DESC)
public.ai_guest_rate_limits | idx_ai_guest_rate_limits_time | CREATE INDEX idx_ai_guest_rate_limits_time ON public.ai_guest_rate_limits USING btree (attempted_at DESC)
public.ai_guest_sessions | ai_guest_sessions_pkey | CREATE UNIQUE INDEX ai_guest_sessions_pkey ON public.ai_guest_sessions USING btree (id)
public.ai_guest_sessions | idx_ai_guest_sessions_conversion | CREATE INDEX idx_ai_guest_sessions_conversion ON public.ai_guest_sessions USING btree (converted_to_signup, session_started_at DESC) WHERE (converted_to_signup = true)
public.ai_guest_sessions | idx_ai_guest_sessions_feature_time | CREATE INDEX idx_ai_guest_sessions_feature_time ON public.ai_guest_sessions USING btree (feature_name, session_started_at DESC)
public.ai_guest_sessions | idx_ai_guest_sessions_lookup | CREATE INDEX idx_ai_guest_sessions_lookup ON public.ai_guest_sessions USING btree (ip_hash, browser_fingerprint)
public.ai_guest_sessions | idx_ai_guest_sessions_user | CREATE INDEX idx_ai_guest_sessions_user ON public.ai_guest_sessions USING btree (converted_user_id) WHERE (converted_user_id IS NOT NULL)
public.ai_preview_sessions | ai_preview_sessions_pkey | CREATE UNIQUE INDEX ai_preview_sessions_pkey ON public.ai_preview_sessions USING btree (id)
public.ai_preview_sessions | ai_preview_sessions_shareable_id_key | CREATE UNIQUE INDEX ai_preview_sessions_shareable_id_key ON public.ai_preview_sessions USING btree (shareable_id)
public.ai_preview_sessions | idx_ai_preview_feature_type | CREATE INDEX idx_ai_preview_feature_type ON public.ai_preview_sessions USING btree (feature_type, created_at)
public.ai_preview_sessions | idx_ai_preview_fingerprint | CREATE INDEX idx_ai_preview_fingerprint ON public.ai_preview_sessions USING btree (session_fingerprint, created_at)
public.ai_preview_sessions | idx_ai_preview_shareable | CREATE INDEX idx_ai_preview_shareable ON public.ai_preview_sessions USING btree (shareable_id) WHERE (shareable_id IS NOT NULL)
public.ai_preview_sessions | idx_ai_preview_user | CREATE INDEX idx_ai_preview_user ON public.ai_preview_sessions USING btree (user_id) WHERE (user_id IS NOT NULL)
public.ai_preview_usage | ai_preview_usage_pkey | CREATE UNIQUE INDEX ai_preview_usage_pkey ON public.ai_preview_usage USING btree (id)
public.ai_preview_usage | idx_ai_preview_usage_ip | CREATE INDEX idx_ai_preview_usage_ip ON public.ai_preview_usage USING btree (ip_address, feature_type, used_at)
public.ai_preview_usage | idx_ai_preview_usage_rate_limit | CREATE INDEX idx_ai_preview_usage_rate_limit ON public.ai_preview_usage USING btree (fingerprint, feature_type, used_at)
public.ai_trial_results | ai_trial_results_pkey | CREATE UNIQUE INDEX ai_trial_results_pkey ON public.ai_trial_results USING btree (id)
public.ai_trial_results | idx_ai_trial_results_expires | CREATE INDEX idx_ai_trial_results_expires ON public.ai_trial_results USING btree (expires_at)
public.ai_trial_results | idx_ai_trial_results_session | CREATE INDEX idx_ai_trial_results_session ON public.ai_trial_results USING btree (session_id)
public.ai_trial_results | idx_ai_trial_results_user | CREATE INDEX idx_ai_trial_results_user ON public.ai_trial_results USING btree (user_id) WHERE (user_id IS NOT NULL)
public.ai_usage_stats | ai_usage_stats_pkey | CREATE UNIQUE INDEX ai_usage_stats_pkey ON public.ai_usage_stats USING btree (id)
public.ai_usage_stats | ai_usage_stats_unique | CREATE UNIQUE INDEX ai_usage_stats_unique ON public.ai_usage_stats USING btree (feature_name, stat_date, stat_hour)
public.ai_usage_stats | idx_ai_usage_stats_lookup | CREATE INDEX idx_ai_usage_stats_lookup ON public.ai_usage_stats USING btree (stat_date DESC, feature_name)
public.ai_usage_tracking | ai_usage_tracking_pkey | CREATE UNIQUE INDEX ai_usage_tracking_pkey ON public.ai_usage_tracking USING btree (id)
public.ai_usage_tracking | idx_ai_usage_tracking_used_at | CREATE INDEX idx_ai_usage_tracking_used_at ON public.ai_usage_tracking USING btree (used_at DESC)
public.ai_usage_tracking | idx_ai_usage_tracking_user_feature | CREATE INDEX idx_ai_usage_tracking_user_feature ON public.ai_usage_tracking USING btree (user_id, feature_name, used_at DESC)
public.ai_user_limit_overrides | ai_user_limit_overrides_pkey | CREATE UNIQUE INDEX ai_user_limit_overrides_pkey ON public.ai_user_limit_overrides USING btree (id)
public.ai_user_limit_overrides | ai_user_limit_overrides_unique | CREATE UNIQUE INDEX ai_user_limit_overrides_unique ON public.ai_user_limit_overrides USING btree (user_id, feature_name)
public.application_ai_analyses | idx_application_ai_analyses_app_id | CREATE UNIQUE INDEX idx_application_ai_analyses_app_id ON public.application_ai_analyses USING btree (application_id)
public.application_ai_analyses | idx_application_ai_analyses_user_id | CREATE INDEX idx_application_ai_analyses_user_id ON public.application_ai_analyses USING btree (user_id)
public.application_history | application_history_pkey | CREATE UNIQUE INDEX application_history_pkey ON public.application_history USING btree (id)
public.application_history | idx_application_history_application_id | CREATE INDEX idx_application_history_application_id ON public.application_history USING btree (application_id)
public.application_history | idx_application_history_changed_at | CREATE INDEX idx_application_history_changed_at ON public.application_history USING btree (changed_at)
public.application_linkedin_contacts | application_linkedin_contacts_pkey | CREATE UNIQUE INDEX application_linkedin_contacts_pkey ON public.application_linkedin_contacts USING btree (id)
public.application_linkedin_contacts | idx_app_linkedin_contacts_app_id | CREATE INDEX idx_app_linkedin_contacts_app_id ON public.application_linkedin_contacts USING btree (application_id)
public.application_linkedin_contacts | idx_app_linkedin_contacts_profile_id | CREATE INDEX idx_app_linkedin_contacts_profile_id ON public.application_linkedin_contacts USING btree (linkedin_profile_id)
public.application_linkedin_contacts | idx_app_linkedin_contacts_user_id | CREATE INDEX idx_app_linkedin_contacts_user_id ON public.application_linkedin_contacts USING btree (user_id)
public.application_linkedin_contacts | unique_application_profile | CREATE UNIQUE INDEX unique_application_profile ON public.application_linkedin_contacts USING btree (application_id, linkedin_profile_id)
public.applications | applications_pkey | CREATE UNIQUE INDEX applications_pkey ON public.applications USING btree (id)
public.applications | idx_applications_archived | CREATE INDEX idx_applications_archived ON public.applications USING btree (user_id, archived)
public.applications | idx_applications_date_applied | CREATE INDEX idx_applications_date_applied ON public.applications USING btree (date_applied)
public.applications | idx_applications_job_description | CREATE INDEX idx_applications_job_description ON public.applications USING gin (to_tsvector('english'::regconfig, job_description)) WHERE (job_description IS NOT NULL)
public.applications | idx_applications_status | CREATE INDEX idx_applications_status ON public.applications USING btree (status)
public.applications | idx_applications_user_id | CREATE INDEX idx_applications_user_id ON public.applications USING btree (user_id)
public.audience_members | audience_members_email_key | CREATE UNIQUE INDEX audience_members_email_key ON public.audience_members USING btree (email)
public.audience_members | audience_members_pkey | CREATE UNIQUE INDEX audience_members_pkey ON public.audience_members USING btree (id)
public.audience_members | idx_audience_members_audience | CREATE INDEX idx_audience_members_audience ON public.audience_members USING btree (current_audience)
public.audience_members | idx_audience_members_user_id | CREATE INDEX idx_audience_members_user_id ON public.audience_members USING btree (user_id)
public.audit_logs | audit_logs_pkey | CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
public.audit_logs | idx_audit_logs_action | CREATE INDEX idx_audit_logs_action ON public.audit_logs USING btree (action)
public.audit_logs | idx_audit_logs_created_at | CREATE INDEX idx_audit_logs_created_at ON public.audit_logs USING btree (created_at DESC)
public.audit_logs | idx_audit_logs_entity_type_id | CREATE INDEX idx_audit_logs_entity_type_id ON public.audit_logs USING btree (entity_type, entity_id)
public.audit_logs | idx_audit_logs_user_id | CREATE INDEX idx_audit_logs_user_id ON public.audit_logs USING btree (user_id)
public.campaign_sends | campaign_sends_pkey | CREATE UNIQUE INDEX campaign_sends_pkey ON public.campaign_sends USING btree (campaign)
public.career_advice | career_advice_pkey | CREATE UNIQUE INDEX career_advice_pkey ON public.career_advice USING btree (id)
public.career_advice | idx_career_advice_conversation_id | CREATE INDEX idx_career_advice_conversation_id ON public.career_advice USING btree (conversation_id)
public.career_advice | idx_career_advice_created_at | CREATE INDEX idx_career_advice_created_at ON public.career_advice USING btree (created_at DESC)
public.career_advice | idx_career_advice_user_id | CREATE INDEX idx_career_advice_user_id ON public.career_advice USING btree (user_id)
public.career_goals | career_goals_pkey | CREATE UNIQUE INDEX career_goals_pkey ON public.career_goals USING btree (id)
public.career_goals | idx_career_goals_user_id | CREATE INDEX idx_career_goals_user_id ON public.career_goals USING btree (user_id)
public.career_profiles | career_profiles_pkey | CREATE UNIQUE INDEX career_profiles_pkey ON public.career_profiles USING btree (user_id)
public.career_waitlist | career_waitlist_email_key | CREATE UNIQUE INDEX career_waitlist_email_key ON public.career_waitlist USING btree (email)
public.career_waitlist | career_waitlist_pkey | CREATE UNIQUE INDEX career_waitlist_pkey ON public.career_waitlist USING btree (id)
public.career_waitlist | idx_career_waitlist_review_timing | CREATE INDEX idx_career_waitlist_review_timing ON public.career_waitlist USING btree (review_timing)
public.cleanup_logs | cleanup_logs_pkey | CREATE UNIQUE INDEX cleanup_logs_pkey ON public.cleanup_logs USING btree (id)
public.cleanup_logs | idx_cleanup_logs_cleaned_at | CREATE INDEX idx_cleanup_logs_cleaned_at ON public.cleanup_logs USING btree (cleaned_at DESC)
public.coach_memory | coach_memory_pkey | CREATE UNIQUE INDEX coach_memory_pkey ON public.coach_memory USING btree (user_id)
public.comp_entries | comp_entries_pkey | CREATE UNIQUE INDEX comp_entries_pkey ON public.comp_entries USING btree (id)
public.comp_entries | comp_entries_user_date_idx | CREATE INDEX comp_entries_user_date_idx ON public.comp_entries USING btree (user_id, effective_date DESC)
public.conversations | conversations_pkey | CREATE UNIQUE INDEX conversations_pkey ON public.conversations USING btree (id)
public.conversations | idx_conversations_updated_at | CREATE INDEX idx_conversations_updated_at ON public.conversations USING btree (updated_at DESC)
public.conversations | idx_conversations_user_id | CREATE INDEX idx_conversations_user_id ON public.conversations USING btree (user_id)
public.cover_letters | cover_letters_pkey | CREATE UNIQUE INDEX cover_letters_pkey ON public.cover_letters USING btree (id)
public.cover_letters | idx_cover_letters_application_id | CREATE INDEX idx_cover_letters_application_id ON public.cover_letters USING btree (application_id)
public.cover_letters | idx_cover_letters_created_at | CREATE INDEX idx_cover_letters_created_at ON public.cover_letters USING btree (created_at DESC)
public.cover_letters | idx_cover_letters_user_id | CREATE INDEX idx_cover_letters_user_id ON public.cover_letters USING btree (user_id)
public.cover_letters | idx_cover_letters_user_resume_id | CREATE INDEX idx_cover_letters_user_resume_id ON public.cover_letters USING btree (user_resume_id)
public.drip_emails | drip_emails_email_template_id_key | CREATE UNIQUE INDEX drip_emails_email_template_id_key ON public.drip_emails USING btree (email, template_id)
public.drip_emails | drip_emails_pkey | CREATE UNIQUE INDEX drip_emails_pkey ON public.drip_emails USING btree (id)
public.drip_emails | idx_drip_emails_email | CREATE INDEX idx_drip_emails_email ON public.drip_emails USING btree (email)
public.drip_emails | idx_drip_emails_pending | CREATE INDEX idx_drip_emails_pending ON public.drip_emails USING btree (scheduled_for, status) WHERE (status = 'pending'::text)
public.drip_emails | idx_drip_emails_user_id | CREATE INDEX idx_drip_emails_user_id ON public.drip_emails USING btree (user_id)
public.email_preferences | email_preferences_pkey | CREATE UNIQUE INDEX email_preferences_pkey ON public.email_preferences USING btree (user_id)
public.interview_prep | idx_interview_prep_job_url | CREATE INDEX idx_interview_prep_job_url ON public.interview_prep USING btree (job_url)
public.interview_prep | idx_interview_prep_user_resume_id | CREATE INDEX idx_interview_prep_user_resume_id ON public.interview_prep USING btree (user_resume_id)
public.interview_prep | interview_prep_pkey | CREATE UNIQUE INDEX interview_prep_pkey ON public.interview_prep USING btree (id)
public.job_fit_analysis | idx_job_fit_analysis_application_id | CREATE INDEX idx_job_fit_analysis_application_id ON public.job_fit_analysis USING btree (application_id)
public.job_fit_analysis | idx_job_fit_analysis_created_at | CREATE INDEX idx_job_fit_analysis_created_at ON public.job_fit_analysis USING btree (created_at)
public.job_fit_analysis | idx_job_fit_analysis_user_id | CREATE INDEX idx_job_fit_analysis_user_id ON public.job_fit_analysis USING btree (user_id)
public.job_fit_analysis | idx_job_fit_analysis_user_resume_id | CREATE INDEX idx_job_fit_analysis_user_resume_id ON public.job_fit_analysis USING btree (user_resume_id)
public.job_fit_analysis | job_fit_analysis_pkey | CREATE UNIQUE INDEX job_fit_analysis_pkey ON public.job_fit_analysis USING btree (id)
public.linkedin_profiles | idx_linkedin_profiles_application_id | CREATE INDEX idx_linkedin_profiles_application_id ON public.linkedin_profiles USING btree (application_id)
public.linkedin_profiles | idx_linkedin_profiles_user_id | CREATE INDEX idx_linkedin_profiles_user_id ON public.linkedin_profiles USING btree (user_id)
public.linkedin_profiles | linkedin_profiles_pkey | CREATE UNIQUE INDEX linkedin_profiles_pkey ON public.linkedin_profiles USING btree (id)
public.linkedin_profiles_new | idx_linkedin_profiles_url | CREATE UNIQUE INDEX idx_linkedin_profiles_url ON public.linkedin_profiles_new USING btree (profile_url)
public.linkedin_profiles_new | linkedin_profiles_new_pkey | CREATE UNIQUE INDEX linkedin_profiles_new_pkey ON public.linkedin_profiles_new USING btree (id)
